City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Fatehgarh Churian,IN,31.8621,74.9553,48.06,41,20,3.04,few clouds
141,Zhigansk,RU,66.7697,123.3711,-41.44,98,94,6.6,overcast clouds
142,Hornepayne,CA,49.2138,-84.7705,11.75,94,100,7.27,light snow
143,Saskylakh,RU,71.9167,114.0833,-40.43,100,80,1.45,broken clouds
144,Namatanai,PG,-3.6667,152.4333,80.11,83,99,6.58,light rain
145,Tuatapere,NZ,-46.1333,167.6833,57.81,56,50,10.65,scattered clouds
146,Yellowknife,CA,62.456,-114.3525,-10.59,86,100,5.99,light snow
147,Goderich,CA,43.7501,-81.7165,28.9,94,100,20.87,snow
148,Vao,NC,-22.6667,167.4833,76.77,80,21,10.83,few clouds
149,Santiago Del Estero,AR,-27.7951,-64.2615,78.8,48,99,4.38,overcast clouds
150,Labuhan,ID,-6.8844,112.2051,77.86,85,100,7.25,overcast clouds
151,Solnechnyy,RU,50.7214,136.6319,-12.48,95,100,1.12,overcast clouds
152,Wenling,CN,28.3669,121.36,55.9,84,97,5.17,overcast clouds
153,Bontang,ID,0.1333,117.5,74.7,86,77,3.06,moderate rain
154,Uyar,RU,55.81,94.3153,-20.18,99,7,3.76,clear sky
155,East London,ZA,-33.0153,27.9116,62.29,82,98,5.48,overcast clouds
156,Saint George,US,37.1041,-113.5841,50.79,65,90,1.01,overcast clouds
157,Padang,ID,-0.9492,100.3543,76.33,88,93,3.49,overcast clouds
158,Blackwater,AU,-23.5833,148.8833,81.21,62,66,8.77,broken clouds
159,Yarada,IN,17.65,83.2667,66.52,100,0,2.3,mist
160,Nyaunglebin,MM,17.95,96.7333,61.79,91,0,1.66,clear sky
161,Ribeira Grande,PT,38.5167,-28.7,61.09,65,95,25.05,overcast clouds
162,San Juan,AR,-31.5375,-68.5364,93.24,22,2,12.59,clear sky
163,Praya,CV,14.9215,-23.5087,72.14,78,20,16.11,few clouds
164,Agadez,NE,19.75,10.25,59.2,17,33,8.72,scattered clouds
165,Sitka,US,57.0531,-135.33,30.09,80,75,3.44,broken clouds
166,Augusto Correa,BR,-1.0217,-46.635,79.66,79,73,5.64,broken clouds
167,Anadyr,RU,64.75,177.4833,1.9,66,61,17.9,broken clouds
168,Salacgriva,LV,57.7536,24.3581,28.9,97,100,17.94,light snow
169,Deputatskiy,RU,69.3,139.9,-35.61,99,86,4.79,overcast clouds
