City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Mecca,SA,2021-12-21 20:39:55,21.4267,39.8261,68.47,52,0,7.14
155,Biloela,AU,2021-12-21 20:40:46,-24.4167,150.5,73.47,70,0,4.09
156,Severo-Kurilsk,RU,2021-12-21 20:40:46,50.6789,156.125,22.42,73,8,13.62
157,Alice Springs,AU,2021-12-21 20:40:46,-23.7,133.8833,72.95,28,53,8.05
158,Burla,IN,2021-12-21 20:40:47,21.5,83.8667,54.0,38,0,2.08
159,Kavaratti,IN,2021-12-21 20:40:47,10.5669,72.642,79.29,65,9,4.5
160,Novyy Svit,UA,2021-12-21 20:40:47,47.8059,38.0211,22.32,71,71,10.2
161,Mount Isa,AU,2021-12-21 20:40:48,-20.7333,139.5,74.97,73,47,1.14
162,Agirish,RU,2021-12-21 20:40:48,61.9247,63.0231,0.5,96,100,8.03
163,Ambilobe,MG,2021-12-21 20:40:49,-13.2,49.05,78.64,87,89,2.57
164,Hay River,CA,2021-12-21 20:40:49,60.8156,-115.7999,-13.02,77,75,8.05
165,Toora-Khem,RU,2021-12-21 20:40:49,52.4675,96.11,6.49,98,97,2.37
166,Bethel,US,2021-12-21 20:40:49,41.3712,-73.414,41.58,59,100,2.55
167,Marzuq,YE,2021-12-21 20:40:50,14.4,46.4667,64.24,61,10,1.54
168,Emerald,AU,2021-12-21 20:40:50,-23.5333,148.1667,80.98,64,0,5.75
169,Te Anau,NZ,2021-12-21 20:40:50,-45.4167,167.7167,60.49,58,23,10.92
170,Kolondieba,ML,2021-12-21 20:40:51,11.0882,-6.8926,76.01,19,20,5.88
171,Beringovskiy,RU,2021-12-21 20:40:51,63.05,179.3167,1.67,78,100,6.29
172,Ribeira Grande,PT,2021-12-21 20:40:51,38.5167,-28.7,63.0,72,75,24.16
173,Mtwara,TZ,2021-12-21 20:40:52,-10.2667,40.1833,78.13,83,20,9.22
174,Bredasdorp,ZA,2021-12-21 20:40:52,-34.5322,20.0403,67.32,83,100,8.05
175,Ciudad Bolivar,VE,2021-12-21 20:40:52,8.1222,-63.5497,88.65,50,89,9.73
176,Jardim,BR,2021-12-21 20:39:58,-21.4803,-56.1381,90.09,33,59,8.99
177,Naze,JP,2021-12-21 20:41:53,28.3667,129.4833,57.22,89,100,1.95
178,Ahipara,NZ,2021-12-21 20:41:53,-35.1667,173.1667,70.25,72,98,7.11
179,Sinnamary,GF,2021-12-21 20:41:53,5.3833,-52.95,78.91,90,100,11.25
180,Shorewood,US,2021-12-21 20:41:54,41.52,-88.2017,42.22,67,1,13.8
181,Poum,NC,2021-12-21 20:41:54,-20.2333,164.0167,79.88,77,8,6.04
182,Zhuhai,CN,2021-12-21 20:41:54,22.2769,113.5678,64.98,82,40,12.66
183,Faanui,PF,2021-12-21 20:41:55,-16.4833,-151.75,80.2,71,100,10.76
184,Karratha,AU,2021-12-21 20:41:55,-20.7377,116.8463,82.18,74,60,9.48
185,San Ignacio,BZ,2021-12-21 20:41:55,17.1561,-89.0714,78.94,83,75,4.61
186,Amqui,CA,2021-12-21 20:41:56,48.4638,-67.4313,14.49,75,99,13.42
187,Cidreira,BR,2021-12-21 20:41:56,-30.1811,-50.2056,75.92,80,100,7.92
188,Rio Claro,BR,2021-12-21 20:41:56,-22.4114,-47.5614,91.22,50,38,5.32
189,Butaritari,KI,2021-12-21 20:41:57,3.0707,172.7902,81.21,71,92,6.22
190,Castro,BR,2021-12-21 20:41:57,-24.7911,-50.0119,78.12,45,35,3.36
191,Itarema,BR,2021-12-21 20:41:57,-2.9248,-39.9167,81.37,73,100,13.56
192,Namibe,AO,2021-12-21 20:41:58,-15.1961,12.1522,70.48,71,80,9.53
193,Praya,CV,2021-12-21 20:41:58,14.9215,-23.5087,73.94,78,75,14.97
194,Almaznyy,RU,2021-12-21 20:41:58,48.0448,40.045,19.54,90,92,8.03
195,Beachwood,US,2021-12-21 20:41:58,41.4645,-81.5087,43.39,56,1,4.0
196,Bathsheba,BB,2021-12-21 20:41:59,13.2167,-59.5167,84.81,58,20,19.57
197,Paka,MY,2021-12-21 20:41:59,4.6374,103.4368,76.93,94,100,0.0
198,Mareeba,AU,2021-12-21 20:41:59,-17.0,145.4333,74.12,86,60,1.97
199,Andujar,ES,2021-12-21 20:42:00,38.0392,-4.0508,61.2,82,100,4.25
200,Arraial Do Cabo,BR,2021-12-21 20:40:58,-22.9661,-42.0278,80.56,69,0,21.85
201,Codrington,AU,2021-12-21 20:42:00,-38.2667,141.9667,58.06,73,100,8.79
202,Aguilas,ES,2021-12-21 20:42:01,37.4063,-1.5829,64.33,68,100,2.08
203,Komsomolskiy,UZ,2021-12-21 20:42:01,40.4272,71.7189,33.22,80,98,6.91
204,Campoverde,PE,2021-12-21 20:42:01,-8.4753,-74.8058,89.29,40,95,4.68
205,Sao Joao Da Barra,BR,2021-12-21 20:41:24,-21.6403,-41.0511,77.09,84,44,14.54
206,Micco,US,2021-12-21 20:42:02,27.8806,-80.5003,76.01,88,91,3.0
207,Itaqui,BR,2021-12-21 20:42:02,-29.1253,-56.5531,98.94,22,88,8.16
208,Tuktoyaktuk,CA,2021-12-21 20:42:02,69.4541,-133.0374,5.0,78,90,13.8
209,Aklavik,CA,2021-12-21 20:42:03,68.2191,-135.0107,8.6,85,90,12.66
210,Faya,SA,2021-12-21 20:42:03,18.3851,42.4509,57.31,84,100,1.66
211,Charters Towers,AU,2021-12-21 20:42:03,-20.1,146.2667,75.2,78,6,9.66
212,Mtimbira,TZ,2021-12-21 20:42:03,-8.7833,36.35,78.03,71,45,3.24
213,Saskylakh,RU,2021-12-21 20:42:04,71.9167,114.0833,-22.97,99,98,4.27
214,Boa Vista,BR,2021-12-21 20:42:04,2.8197,-60.6733,89.58,51,75,9.22
215,Clyde River,CA,2021-12-21 20:42:04,70.4692,-68.5914,7.03,78,90,20.71
216,Tortoli,IT,2021-12-21 20:42:05,39.9256,9.6572,53.42,76,0,4.61
217,Coahuayana,MX,2021-12-21 20:42:05,18.7333,-103.6833,89.08,47,5,6.69
218,Quatre Cocos,MU,2021-12-21 20:42:05,-20.2078,57.7625,78.91,79,99,14.88
219,San Quintin,MX,2021-12-21 20:42:06,30.4833,-115.95,63.75,50,100,8.99
220,Harper,LR,2021-12-21 20:42:06,4.375,-7.7169,80.76,81,35,8.95
221,Petropavlovsk-Kamchatskiy,RU,2021-12-21 20:43:02,53.0452,158.6483,-8.81,84,0,6.71
222,Katsuura,JP,2021-12-21 20:43:07,35.1333,140.3,48.31,64,0,9.91
223,Kodiak,US,2021-12-21 20:43:07,57.79,-152.4072,33.37,69,3,11.16
224,Auki,SB,2021-12-21 20:43:07,-8.7676,160.7034,78.76,89,95,3.33
225,Esperance,AU,2021-12-21 20:43:08,-33.8667,121.9,60.64,86,81,8.41
