City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Sambava,MG,78.3,few clouds,-14.2667,50.1667,Melrose
125,Andros Town,BS,73.36,clear sky,24.7,-77.7667,Hanks place
129,Porto Novo,BJ,79.23,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
132,Pascagoula,US,64.72,clear sky,30.3658,-88.5561,Regency Inn
134,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
135,Champerico,GT,84.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
136,Saldanha,ZA,63.88,clear sky,-33.0117,17.9442,Blue Bay Lodge
138,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
144,Namatanai,PG,80.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
148,Vao,NC,76.77,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
149,Santiago Del Estero,AR,78.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
150,Labuhan,ID,77.86,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
153,Bontang,ID,74.7,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
155,East London,ZA,62.29,overcast clouds,-33.0153,27.9116,Tu Casa
157,Padang,ID,76.33,overcast clouds,-0.9492,100.3543,Mercure Padang
158,Blackwater,AU,81.21,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
159,Yarada,IN,66.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
160,Nyaunglebin,MM,61.79,clear sky,17.95,96.7333,Thi ha
161,Ribeira Grande,PT,61.09,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
163,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
166,Augusto Correa,BR,79.66,broken clouds,-1.0217,-46.635,Fazenda Bacuri
171,Bengkulu,ID,74.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Puerto Carreno,CO,88.84,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
173,Kaitangata,NZ,60.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
174,Sawankhalok,TH,66.56,clear sky,17.316,99.8319,Boon Bunleng Resort
179,Coruripe,BR,80.24,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
180,Mogadishu,SO,78.94,light rain,2.0371,45.3438,Hotel Juba
182,Bria,CF,74.82,overcast clouds,6.5423,21.9863,WFP Guesthouse
184,Tabou,CI,80.76,few clouds,4.423,-7.3528,hotêl doufoulougou
189,Proddatur,IN,65.03,clear sky,14.7333,78.55,Sri Swasthik Residency
190,Lorengau,PG,80.76,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Gushikawa,JP,71.19,broken clouds,26.3544,127.8686,Kirari Guest House
195,Palatka,US,65.44,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
198,Kilindoni,TZ,81.91,clear sky,-7.9139,39.6668,Bustani B&B
201,Aitape,PG,80.24,overcast clouds,-3.1374,142.3475,
202,Esperance,AU,63.68,broken clouds,-33.8667,121.9,Hospitality Esperance
205,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
206,Isangel,VU,82.42,light rain,-19.55,169.2667,Tanna Lodge
209,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
211,Meiganga,CM,69.53,clear sky,6.5167,14.3,DFR HOUSE
212,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
215,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
216,Richards Bay,ZA,69.06,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
220,New Norfolk,AU,65.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
221,Buala,SB,82.26,light rain,-8.145,159.5921,Maringe Lagoon Lodge
223,San Francisco Del Mar,MX,84.29,clear sky,16.2333,-94.65,
224,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
