City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Dekar,BW,78.3,clear sky,-21.5333,21.9333,
621,Barranca,PE,70.88,few clouds,-10.75,-77.7667,El Olivar Hospedaje
622,Puerto Del Rosario,ES,64.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
623,Curumani,CO,79.61,scattered clouds,9.1999,-73.5427,Hotel Mayumir
625,Bagtic,PH,71.87,scattered clouds,9.6864,123.0122,Mountain Tumicom
626,Ariquemes,BR,77.49,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
627,Biltine,TD,70.92,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
629,Garoua Boulai,CM,69.06,scattered clouds,5.8833,14.55,Motel l'as Vegas
630,Dwarka,IN,72.88,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
635,Luena,AO,62.02,light rain,-11.7833,19.9167,Hotel Kandamba
640,Del Rio,US,80.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
641,Itoman,JP,71.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
643,Minna,NG,80.01,clear sky,9.6139,6.5569,Royal Park hotel & suites
645,Huicungo,PE,79.23,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
649,Ouadda,CF,72.09,overcast clouds,8.0777,22.4007,
650,Eirunepe,BR,76.66,overcast clouds,-6.6603,-69.8736,Atrás de você
652,Charcas,MX,70.11,clear sky,23.1333,-101.1167,Hotel El Malacate
653,Garchitorena,PH,78.69,scattered clouds,13.8804,123.6946,Site
654,Sulya,IN,73.44,few clouds,12.5667,75.3833,RIVER ISLAND LODGING
657,Lakatoro,VU,82.53,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
661,Kudahuvadhoo,MV,80.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
663,Wanlaweyn,SO,75.69,overcast clouds,2.6185,44.8938,GAASHAAN HOME
667,Barahona,DO,76.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
668,Nkhata Bay,MW,78.28,scattered clouds,-11.6066,34.2907,Mayoka Village
670,Imbituba,BR,73.29,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
673,Icod De Los Vinos,ES,69.01,scattered clouds,28.3724,-16.7119,Hotel Rural El Patio
677,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
678,Pangai,TO,84.31,light rain,-19.8,-174.35,Ha'apai Beach Resort
679,Cocobeach,GA,80.37,overcast clouds,1.0002,9.5823,Hotel Esperance
685,Sechura,PE,75.58,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
687,Kimberley,ZA,60.49,broken clouds,-28.7323,24.7623,Welgewandel Guesthouse
